600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600519.SH,600547.SH,600570.SH
0,0,0,100,0,100,0,-200,0,0,0,-26100,0,0,17900
0,0,300,-100,0,-300,0,0,0,0,0,-14300,0,0,9400
0,0,-300,0,0,0,0,900,0,0,25500,0,0,0,-27300
0,0,0,400,0,0,0,0,0,0,-25500,0,0,69400,0
0,0,0,400,0,0,0,-900,-100,0,0,42100,0,-69400,0
0,0,0,100,0,0,0,0,0,0,0,-42100,1900,0,0
100,0,0,-900,0,0,0,0,0,0,0,0,0,100,0
300,0,0,0,0,0,0,0,0,0,0,40900,-1900,0,0
-400,0,0,200,0,0,0,0,0,0,0,0,0,-100,100
0,0,0,0,0,0,0,0,100,0,0,100,0,0,-100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6200,0,600,0,100000,0,0,0,0,0,-41000,0,0,0
0,0,0,-800,0,0,0,200,0,0,0,0,0,100,0
0,-6200,0,0,0,100,0,0,0,0,0,9500,0,0,0
0,0,300,0,0,-75900,0,0,53400,0,0,0,0,-100,0
0,0,-300,0,0,0,0,-200,0,0,0,0,0,100,0
