,time,close,trade
273,2020/10/29,3.89,0.0
274,2020/10/30,3.9,-78000.0
275,2020/10/9,3.93,0.0
276,2020/11/10,4.04,0.0
277,2020/11/11,4.12,0.0
278,2020/11/12,4.06,600.0
279,2020/11/13,4.02,-600.0
280,2020/11/16,4.1,400.0
281,2020/11/17,4.12,600.0
282,2020/11/18,4.11,400.0
283,2020/11/19,4.12,0.0
284,2020/11/2,3.91,0.0
285,2020/11/20,4.09,0.0
286,2020/11/23,4.2,-1400.0
287,2020/11/24,4.19,100.0
288,2020/11/25,4.23,0.0
289,2020/11/26,4.26,0.0
290,2020/11/27,4.28,0.0
291,2020/11/3,3.95,-100.0
292,2020/11/30,4.19,100.0
293,2020/11/4,3.93,0.0
294,2020/11/5,3.96,-100.0
295,2020/11/6,3.98,0.0
296,2020/11/9,4.01,500.0
297,2020/12/1,4.23,0.0
298,2020/12/10,4.06,100.0
299,2020/12/11,4.12,600.0
300,2020/12/14,4.06,0.0
301,2020/12/15,4.03,-1200.0
302,2020/12/16,4.04,1800.0
303,2020/12/17,4.09,0.0
304,2020/12/18,4.1,0.0
305,2020/12/2,4.22,1700.0
306,2020/12/21,4.07,100.0
307,2020/12/22,3.98,1100.0
308,2020/12/23,3.99,0.0
309,2020/12/24,3.99,0.0
310,2020/12/25,4.0,-4700.0
311,2020/12/28,3.99,600.0
312,2020/12/29,4.02,-600.0
313,2020/12/3,4.2,100.0
314,2020/12/30,4.01,-100.0
315,2020/12/31,4.03,0.0
316,2020/12/4,4.18,0.0
317,2020/12/7,4.11,0.0
318,2020/12/8,4.1,0.0
319,2020/12/9,4.07,600.0
320,2020/2/10,4.71,20000.0
321,2020/2/11,4.72,100000.0
322,2020/2/12,4.73,300.0
323,2020/2/13,4.7,0.0
324,2020/2/14,4.71,0.0
325,2020/2/17,4.78,-27100.0
326,2020/2/18,4.75,0.0
327,2020/2/19,4.74,-33100.0
328,2020/2/20,4.79,0.0
329,2020/2/21,4.79,-60700.0
330,2020/2/24,4.72,100.0
331,2020/2/25,4.66,0.0
332,2020/2/26,4.68,-100.0
333,2020/2/27,4.66,0.0
334,2020/2/28,4.6,0.0
335,2020/2/3,4.62,0.0
336,2020/2/4,4.64,0.0
337,2020/2/5,4.64,300.0
338,2020/2/6,4.7,400.0
339,2020/2/7,4.73,-700.0
340,2020/3/10,4.82,0.0
341,2020/3/11,4.75,200.0
342,2020/3/12,4.64,-200.0
343,2020/3/13,4.55,400.0
344,2020/3/16,4.63,100.0
345,2020/3/17,4.59,0.0
346,2020/3/18,4.53,-500.0
347,2020/3/19,4.45,0.0
348,2020/3/2,4.7,0.0
349,2020/3/20,4.51,0.0
350,2020/3/23,4.43,6400.0
351,2020/3/24,4.48,0.0
352,2020/3/25,4.52,0.0
353,2020/3/26,4.49,0.0
354,2020/3/27,4.49,0.0
355,2020/3/3,4.71,-6400.0
356,2020/3/30,4.47,0.0
357,2020/3/31,4.43,0.0
358,2020/3/4,4.71,0.0
359,2020/3/5,4.79,100.0
360,2020/3/6,4.79,0.0
361,2020/3/9,4.91,0.0
362,2020/4/1,4.39,-100.0
363,2020/4/10,4.49,0.0
364,2020/4/13,4.5,0.0
365,2020/4/14,4.5,0.0
366,2020/4/15,4.49,600.0
367,2020/4/16,4.47,0.0
368,2020/4/17,4.56,0.0
369,2020/4/2,4.55,0.0
370,2020/4/20,4.61,-600.0
371,2020/4/21,4.54,0.0
372,2020/4/22,4.51,0.0
373,2020/4/23,4.55,0.0
374,2020/4/24,4.49,200.0
375,2020/4/27,4.51,-200.0
376,2020/4/28,4.43,100.0
377,2020/4/29,4.44,-100.0
378,2020/4/3,4.46,0.0
379,2020/4/30,4.46,0.0
380,2020/4/7,4.51,0.0
381,2020/4/8,4.5,100.0
382,2020/4/9,4.51,-100.0
383,2020/5/11,4.41,1200.0
384,2020/5/12,4.4,0.0
385,2020/5/13,4.41,500.0
386,2020/5/14,4.38,0.0
387,2020/5/15,4.36,0.0
388,2020/5/18,4.37,0.0
389,2020/5/19,4.39,400.0
390,2020/5/20,4.37,1300.0
391,2020/5/21,4.36,-3400.0
392,2020/5/22,4.25,600.0
393,2020/5/25,4.22,1500.0
394,2020/5/26,4.21,100.0
395,2020/5/27,4.19,700.0
396,2020/5/28,4.19,0.0
397,2020/5/29,4.14,0.0
398,2020/5/6,4.43,0.0
399,2020/5/7,4.41,1500.0
400,2020/5/8,4.42,200.0
401,2020/6/1,4.2,0.0
402,2020/6/10,4.09,0.0
403,2020/6/11,4.03,-4600.0
404,2020/6/12,4.04,0.0
405,2020/6/15,3.99,66700.0
406,2020/6/16,4.02,100.0
407,2020/6/17,4.01,400.0
408,2020/6/18,4.01,-5600.0
409,2020/6/19,4.01,0.0
410,2020/6/2,4.22,-61600.0
411,2020/6/22,3.99,0.0
412,2020/6/23,3.97,0.0
413,2020/6/24,3.97,0.0
414,2020/6/29,3.92,0.0
415,2020/6/3,4.24,0.0
416,2020/6/30,3.91,0.0
417,2020/6/4,4.19,200.0
418,2020/6/5,4.23,-200.0
419,2020/6/8,4.3,0.0
420,2020/6/9,4.29,100.0
421,2020/7/1,3.93,500.0
422,2020/7/10,4.13,0.0
423,2020/7/13,4.17,0.0
424,2020/7/14,4.09,0.0
425,2020/7/15,4.05,300.0
426,2020/7/16,3.98,100.0
427,2020/7/17,3.97,100.0
428,2020/7/2,4.01,0.0
429,2020/7/20,4.04,0.0
430,2020/7/21,4.02,-1100.0
431,2020/7/22,4.08,1400.0
432,2020/7/23,4.03,500.0
433,2020/7/24,4.0,0.0
434,2020/7/27,4.01,0.0
435,2020/7/28,4.01,-1900.0
436,2020/7/29,4.02,800.0
437,2020/7/3,4.08,300.0
438,2020/7/30,3.99,0.0
439,2020/7/31,4.0,0.0
440,2020/7/6,4.27,400.0
441,2020/7/7,4.23,800.0
442,2020/7/8,4.21,0.0
443,2020/7/9,4.23,-2300.0
444,2020/8/10,4.0,400.0
445,2020/8/11,3.99,0.0
446,2020/8/12,3.99,0.0
447,2020/8/13,4.01,0.0
448,2020/8/14,4.02,500.0
449,2020/8/17,4.07,-900.0
450,2020/8/18,4.06,0.0
451,2020/8/19,4.06,0.0
452,2020/8/20,4.03,0.0
453,2020/8/21,4.03,1400.0
454,2020/8/24,4.04,0.0
455,2020/8/25,4.03,0.0
456,2020/8/26,4.05,-1400.0
457,2020/8/27,4.03,100.0
458,2020/8/28,4.03,100.0
459,2020/8/3,4.01,0.0
460,2020/8/31,4.03,200.0
461,2020/8/4,4.04,-400.0
462,2020/8/5,4.02,100.0
463,2020/8/6,4.03,300.0
464,2020/8/7,3.99,-400.0
465,2020/9/1,4.03,0.0
466,2020/9/10,3.92,0.0
467,2020/9/11,3.91,0.0
468,2020/9/14,3.92,0.0
469,2020/9/15,3.92,0.0
470,2020/9/16,3.94,400.0
471,2020/9/17,3.93,-400.0
472,2020/9/18,3.96,0.0
473,2020/9/2,4.0,0.0
474,2020/9/21,3.97,2200.0
475,2020/9/22,3.93,-2200.0
476,2020/9/23,3.92,0.0
477,2020/9/24,3.89,2000.0
478,2020/9/25,3.89,-2000.0
479,2020/9/28,3.89,1200.0
480,2020/9/29,3.89,0.0
481,2020/9/3,3.99,0.0
482,2020/9/30,3.91,0.0
483,2020/9/4,3.98,0.0
484,2020/9/7,3.96,500.0
485,2020/9/8,3.97,-1700.0
486,2020/9/9,3.94,
